state,tid,spec,result,misc,exp_key,owner,version,book_time,refresh_time,loss,params
2,210,,"{'loss': 8.308048544757453, 'status': 'ok'}","{'tid': 210, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'ar_reg': [210], 'd_hidden': [210], 'learning_rate': [210], 'num_hidden_layers': [210], 'seasonality_reg': [210], 'trend_reg': [210]}, 'vals': {'ar_reg': [0.0011277023667680135], 'd_hidden': [18.0], 'learning_rate': [0.0016393441279105062], 'num_hidden_layers': [8.0], 'seasonality_reg': [0.00034001752418626413], 'trend_reg': [0.004849383462011346]}}",,,0,2023-05-16 10:30:06.996,2023-05-16 10:30:51.803,8.308048544757453,"{'ar_reg': [0.0011277023667680135], 'd_hidden': [18.0], 'learning_rate': [0.0016393441279105062], 'num_hidden_layers': [8.0], 'seasonality_reg': [0.00034001752418626413], 'trend_reg': [0.004849383462011346]}"
2,673,,"{'loss': 8.308559234248797, 'status': 'ok'}","{'tid': 673, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'ar_reg': [673], 'd_hidden': [673], 'learning_rate': [673], 'num_hidden_layers': [673], 'seasonality_reg': [673], 'trend_reg': [673]}, 'vals': {'ar_reg': [0.0010572546572224447], 'd_hidden': [19.0], 'learning_rate': [0.0012044078713039656], 'num_hidden_layers': [22.0], 'seasonality_reg': [1.223575989503442], 'trend_reg': [0.0016224328284300976]}}",,,0,2023-05-16 16:24:30.748,2023-05-16 16:25:25.136,8.308559234248797,"{'ar_reg': [0.0010572546572224447], 'd_hidden': [19.0], 'learning_rate': [0.0012044078713039656], 'num_hidden_layers': [22.0], 'seasonality_reg': [1.223575989503442], 'trend_reg': [0.0016224328284300976]}"
2,167,,"{'loss': 8.308996575420723, 'status': 'ok'}","{'tid': 167, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'ar_reg': [167], 'd_hidden': [167], 'learning_rate': [167], 'num_hidden_layers': [167], 'seasonality_reg': [167], 'trend_reg': [167]}, 'vals': {'ar_reg': [0.00016849186417282835], 'd_hidden': [23.0], 'learning_rate': [0.003359516265459033], 'num_hidden_layers': [3.0], 'seasonality_reg': [2.1314343285274227], 'trend_reg': [0.0714071418114044]}}",,,0,2023-05-16 09:57:55.265,2023-05-16 09:58:40.630,8.308996575420723,"{'ar_reg': [0.00016849186417282835], 'd_hidden': [23.0], 'learning_rate': [0.003359516265459033], 'num_hidden_layers': [3.0], 'seasonality_reg': [2.1314343285274227], 'trend_reg': [0.0714071418114044]}"
2,279,,"{'loss': 8.310160110816208, 'status': 'ok'}","{'tid': 279, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'ar_reg': [279], 'd_hidden': [279], 'learning_rate': [279], 'num_hidden_layers': [279], 'seasonality_reg': [279], 'trend_reg': [279]}, 'vals': {'ar_reg': [0.0006520785596201041], 'd_hidden': [44.0], 'learning_rate': [0.002716812317747637], 'num_hidden_layers': [2.0], 'seasonality_reg': [6.2005206946163725], 'trend_reg': [0.016581273427862024]}}",,,0,2023-05-16 11:21:48.231,2023-05-16 11:22:32.907,8.310160110816208,"{'ar_reg': [0.0006520785596201041], 'd_hidden': [44.0], 'learning_rate': [0.002716812317747637], 'num_hidden_layers': [2.0], 'seasonality_reg': [6.2005206946163725], 'trend_reg': [0.016581273427862024]}"
2,297,,"{'loss': 8.311606540919005, 'status': 'ok'}","{'tid': 297, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'ar_reg': [297], 'd_hidden': [297], 'learning_rate': [297], 'num_hidden_layers': [297], 'seasonality_reg': [297], 'trend_reg': [297]}, 'vals': {'ar_reg': [0.0009839020564916608], 'd_hidden': [29.0], 'learning_rate': [0.002514087081371825], 'num_hidden_layers': [30.0], 'seasonality_reg': [1.476742600810177], 'trend_reg': [0.0002456588951975109]}}",,,0,2023-05-16 11:35:18.043,2023-05-16 11:36:03.076,8.311606540919005,"{'ar_reg': [0.0009839020564916608], 'd_hidden': [29.0], 'learning_rate': [0.002514087081371825], 'num_hidden_layers': [30.0], 'seasonality_reg': [1.476742600810177], 'trend_reg': [0.0002456588951975109]}"
2,385,,"{'loss': 8.311650137481639, 'status': 'ok'}","{'tid': 385, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'ar_reg': [385], 'd_hidden': [385], 'learning_rate': [385], 'num_hidden_layers': [385], 'seasonality_reg': [385], 'trend_reg': [385]}, 'vals': {'ar_reg': [0.003289089280306479], 'd_hidden': [3.0], 'learning_rate': [0.0035652877504915585], 'num_hidden_layers': [18.0], 'seasonality_reg': [0.2964422606746374], 'trend_reg': [0.007640174836621157]}}",,,0,2023-05-16 12:41:23.344,2023-05-16 12:42:08.026,8.311650137481639,"{'ar_reg': [0.003289089280306479], 'd_hidden': [3.0], 'learning_rate': [0.0035652877504915585], 'num_hidden_layers': [18.0], 'seasonality_reg': [0.2964422606746374], 'trend_reg': [0.007640174836621157]}"
2,475,,"{'loss': 8.314084088364382, 'status': 'ok'}","{'tid': 475, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'ar_reg': [475], 'd_hidden': [475], 'learning_rate': [475], 'num_hidden_layers': [475], 'seasonality_reg': [475], 'trend_reg': [475]}, 'vals': {'ar_reg': [0.00012057624653884054], 'd_hidden': [20.0], 'learning_rate': [0.0013387125666357213], 'num_hidden_layers': [25.0], 'seasonality_reg': [5.373557675137343], 'trend_reg': [0.006385643208744123]}}",,,0,2023-05-16 13:48:57.479,2023-05-16 13:49:42.517,8.314084088364382,"{'ar_reg': [0.00012057624653884054], 'd_hidden': [20.0], 'learning_rate': [0.0013387125666357213], 'num_hidden_layers': [25.0], 'seasonality_reg': [5.373557675137343], 'trend_reg': [0.006385643208744123]}"
2,736,,"{'loss': 8.314568764097135, 'status': 'ok'}","{'tid': 736, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'ar_reg': [736], 'd_hidden': [736], 'learning_rate': [736], 'num_hidden_layers': [736], 'seasonality_reg': [736], 'trend_reg': [736]}, 'vals': {'ar_reg': [0.0003035393253651909], 'd_hidden': [10.0], 'learning_rate': [0.0005172479651442954], 'num_hidden_layers': [25.0], 'seasonality_reg': [0.00951087971242903], 'trend_reg': [0.07785326486544596]}}",,,0,2023-05-16 17:14:31.298,2023-05-16 17:15:16.816,8.314568764097135,"{'ar_reg': [0.0003035393253651909], 'd_hidden': [10.0], 'learning_rate': [0.0005172479651442954], 'num_hidden_layers': [25.0], 'seasonality_reg': [0.00951087971242903], 'trend_reg': [0.07785326486544596]}"
2,184,,"{'loss': 8.31478314287125, 'status': 'ok'}","{'tid': 184, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'ar_reg': [184], 'd_hidden': [184], 'learning_rate': [184], 'num_hidden_layers': [184], 'seasonality_reg': [184], 'trend_reg': [184]}, 'vals': {'ar_reg': [0.0006284910922292273], 'd_hidden': [50.0], 'learning_rate': [0.001745323833007191], 'num_hidden_layers': [10.0], 'seasonality_reg': [0.0010699840755068685], 'trend_reg': [0.11128189846105192]}}",,,0,2023-05-16 10:10:39.538,2023-05-16 10:11:24.623,8.31478314287125,"{'ar_reg': [0.0006284910922292273], 'd_hidden': [50.0], 'learning_rate': [0.001745323833007191], 'num_hidden_layers': [10.0], 'seasonality_reg': [0.0010699840755068685], 'trend_reg': [0.11128189846105192]}"
2,57,,"{'loss': 8.315020346004719, 'status': 'ok'}","{'tid': 57, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'ar_reg': [57], 'd_hidden': [57], 'learning_rate': [57], 'num_hidden_layers': [57], 'seasonality_reg': [57], 'trend_reg': [57]}, 'vals': {'ar_reg': [0.0012147779331580317], 'd_hidden': [17.0], 'learning_rate': [0.004481589655713947], 'num_hidden_layers': [12.0], 'seasonality_reg': [0.02942355528227717], 'trend_reg': [0.2062534853835546]}}",,,0,2023-05-16 08:34:33.976,2023-05-16 08:35:19.401,8.315020346004719,"{'ar_reg': [0.0012147779331580317], 'd_hidden': [17.0], 'learning_rate': [0.004481589655713947], 'num_hidden_layers': [12.0], 'seasonality_reg': [0.02942355528227717], 'trend_reg': [0.2062534853835546]}"
