ds,y,AWND_x,PRCP_x,SNWD_x,SNOW_x,TMAX_x,TMIN_x,AWND_y,PRCP_y,SNWD_y,SNOW_y,TMAX_y,TMIN_y
2017-05-06,56,8.95,0.0,0.0,0.0,80.0,48.0,8.95,0.0,0.0,0.0,80.0,48.0
2017-05-07,46,5.37,0.0,0.0,0.0,78.0,54.0,5.37,0.0,0.0,0.0,78.0,54.0
2017-05-08,45,5.37,0.0,0.0,0.0,84.0,56.0,5.37,0.0,0.0,0.0,84.0,56.0
2017-05-09,34,8.5,0.0,0.0,0.0,84.0,58.0,8.5,0.0,0.0,0.0,84.0,58.0
2017-05-10,36,6.93,0.0,0.0,0.0,83.0,62.0,6.93,0.0,0.0,0.0,83.0,62.0
2017-05-11,47,8.05,0.98,0.0,0.0,81.0,64.0,8.05,0.98,0.0,0.0,81.0,64.0
2017-05-12,51,6.49,0.26,0.0,0.0,72.0,61.0,6.49,0.26,0.0,0.0,72.0,61.0
2017-05-13,42,8.05,0.0,0.0,0.0,77.0,55.0,8.05,0.0,0.0,0.0,77.0,55.0
2017-05-14,39,3.8,0.0,0.0,0.0,80.0,53.0,3.8,0.0,0.0,0.0,80.0,53.0
2017-05-15,49,6.04,0.0,0.0,0.0,84.0,58.0,6.04,0.0,0.0,0.0,84.0,58.0
2017-05-16,66,10.51,0.0,0.0,0.0,86.0,63.0,10.51,0.0,0.0,0.0,86.0,63.0
2017-05-17,50,10.29,0.01,0.0,0.0,82.0,66.0,10.29,0.01,0.0,0.0,82.0,66.0
2017-05-18,45,9.62,0.0,0.0,0.0,87.0,69.0,9.62,0.0,0.0,0.0,87.0,69.0
2017-05-19,48,6.04,0.11,0.0,0.0,87.0,65.0,6.04,0.11,0.0,0.0,87.0,65.0
2017-05-20,58,8.28,1.12,0.0,0.0,78.0,63.0,8.28,1.12,0.0,0.0,78.0,63.0
2017-05-21,41,9.4,0.0,0.0,0.0,79.0,59.0,9.4,0.0,0.0,0.0,79.0,59.0
2017-05-22,39,4.92,0.0,0.0,0.0,72.0,58.0,4.92,0.0,0.0,0.0,72.0,58.0
2017-05-23,47,8.05,0.03,0.0,0.0,79.0,60.0,8.05,0.03,0.0,0.0,79.0,60.0
2017-05-24,54,11.41,0.01,0.0,0.0,72.0,53.0,11.41,0.01,0.0,0.0,72.0,53.0
2017-05-25,64,6.93,0.0,0.0,0.0,80.0,50.0,6.93,0.0,0.0,0.0,80.0,50.0
2017-05-26,36,10.74,0.0,0.0,0.0,82.0,65.0,10.74,0.0,0.0,0.0,82.0,65.0
2017-05-27,53,10.29,0.0,0.0,0.0,89.0,74.0,10.29,0.0,0.0,0.0,89.0,74.0
2017-05-28,40,10.07,2.07,0.0,0.0,82.0,64.0,10.07,2.07,0.0,0.0,82.0,64.0
